Date,Close,XOM,GOLD,BAC,DE_AGRI,BA,Labels
2015-10-05,46.63,76.81,63.91,15.69,78.21,134.02,111011
2015-10-06,46.75,77.89,64.74,15.69,78.44,134.63,111111
2015-10-07,46.8,79.2,65.62,15.75,78.89,137.02,110011
2015-10-08,47.45,80.03,65.55,15.75,80.91,139.04,001001
2015-10-09,47.11,79.26,67.86,15.58,79.87,139.7,010001
2015-10-12,47.0,79.3,66.73,15.52,78.43,140.68,001000
2015-10-13,46.89,79.16,66.74,15.52,76.93,140.29,011100
2015-10-14,46.68,80.16,69.96,15.64,76.28,134.22,110101
2015-10-15,47.01,81.48,69.75,16.19,76.23,137.39,110001
2015-10-16,47.51,82.48,69.29,16.12,76.0,137.6,100101
2015-10-19,47.62,80.99,68.23,16.14,75.97,138.42,101111
2015-10-20,47.77,80.83,70.23,16.2,76.39,138.88,000011
2015-10-21,47.2,80.21,69.14,15.9,76.65,141.19,111111
2015-10-22,48.03,82.89,69.23,16.16,79.35,146.31,111111
2015-10-23,52.87,82.98,71.19,16.52,80.26,146.7,100000
2015-10-26,54.25,81.22,68.84,16.51,77.51,146.7,001001
2015-10-27,53.69,81.09,69.16,16.4,76.12,148.46,111110
2015-10-28,53.98,82.28,69.33,17.28,78.95,147.88,000000
2015-10-29,53.36,82.23,67.0,17.09,78.24,147.18,010001
2015-10-30,52.64,82.74,66.87,16.78,78.0,148.07,110111
2015-11-02,53.24,85.28,66.67,17.06,80.19,148.4,110100
2015-11-03,54.15,86.85,66.13,17.18,79.54,148.09,100001
2015-11-04,54.4,85.98,64.92,17.01,78.24,148.19,000100
2015-11-05,54.38,84.81,62.46,17.31,77.93,147.97,100100
2015-11-06,54.92,84.47,59.74,17.95,77.51,147.94,001000
2015-11-09,54.16,81.95,60.94,17.68,76.24,145.98,010110
2015-11-10,53.51,82.35,59.62,17.85,76.27,145.15,101000
2015-11-11,53.65,81.62,60.25,17.75,75.05,144.99,000000
2015-11-12,53.32,79.41,59.94,17.37,73.27,142.54,001011
2015-11-13,52.84,78.1,60.08,17.2,74.65,142.59,111111
2015-11-16,53.765,80.9,60.99,17.43,74.71,144.42,000001
2015-11-17,52.97,79.96,59.4,17.42,73.8,146.08,111111
2015-11-18,53.85,80.74,61.45,17.84,74.52,148.28,101011
2015-11-19,53.94,80.3,61.5,17.69,74.94,149.24,100011
2015-11-20,54.19,79.79,59.82,17.65,75.48,149.4,010000
2015-11-23,54.19,80.28,59.52,17.47,74.61,148.34,111011
2015-11-24,54.25,81.88,61.51,17.47,76.34,148.65,000010
2015-11-25,53.69,81.25,60.38,17.44,80.0,147.43,100100
2015-11-27,53.93,81.23,60.18,17.48,79.09,146.95,111010
2015-11-30,54.35,81.66,60.6,17.43,79.57,145.45,111101
2015-12-01,55.22,81.89,63.45,17.81,79.49,147.74,000000
2015-12-02,55.21,79.55,62.71,17.62,79.33,146.96,001000
2015-12-03,54.2,78.41,63.03,17.3,78.3,145.56,111111
2015-12-04,55.91,78.86,65.18,17.8,79.59,148.5,000000
2015-12-07,55.81,76.8,62.67,17.54,79.1,148.45,000010
2015-12-08,55.79,74.63,61.34,17.19,79.25,144.99,011000
2015-12-09,54.98,75.63,62.9,17.1,79.24,144.24,110101
2015-12-10,55.27,75.69,62.65,17.2,78.6,146.41,000000
2015-12-11,54.06,74.34,62.4,16.73,77.16,144.62,110110
2015-12-14,55.14,76.03,60.05,16.8,78.94,143.0,111101
2015-12-15,55.2,79.43,60.35,17.42,77.25,146.53,101111
2015-12-16,56.13,79.15,62.19,17.75,78.19,148.11,000000
2015-12-17,55.7,77.96,59.24,17.3,76.91,145.56,001000
2015-12-18,54.13,77.28,59.52,16.76,74.97,139.58,101111
2015-12-21,54.83,77.26,60.08,16.97,75.71,140.9,111111
2015-12-22,55.35,77.65,60.87,17.08,77.59,142.38,111111
2015-12-23,55.82,80.19,62.86,17.34,79.22,144.06,001000
2015-12-24,55.67,79.33,63.18,17.27,78.79,143.53,100001
